user_id,book_id,rating
1,4,5
1,10,4
1,11,5
1,13,4
1,16,3
3,4,3
3,13,2
3,15,3
4,2,5
4,4,4
4,5,4
4,7,4
4,8,4
4,10,5
4,11,4
4,13,4
4,14,3
7,5,3
7,8,2
7,13,5
8,4,3
8,5,3
8,10,1
8,13,4
8,14,5
9,1,4
9,2,4
9,3,4
9,5,5
9,9,1
9,10,5
9,11,1
9,13,5
9,14,4
9,16,2
9,17,3
10,4,5
10,5,5
10,10,5
10,11,3
10,15,5
10,16,4
11,4,3
11,8,5
11,11,4
11,16,3
14,1,4
14,13,3
14,14,3
14,16,1
14,17,3
15,2,4
15,3,5
15,4,3
15,5,4
15,8,5
15,9,3
15,10,5
15,11,5
15,13,4
15,14,4
16,8,4
16,10,3
16,14,5
18,3,2
18,4,4
18,5,4
18,7,5
18,8,4
18,9,2
18,11,3
18,13,4
18,14,4
21,2,4
21,8,3
21,10,4
21,14,3
22,1,3
22,3,3
22,9,2
24,2,3
24,4,4
24,8,4
24,9,4
24,10,4
24,11,4
24,15,4
25,4,4
25,8,5
25,13,4
25,14,4
26,8,4
26,13,4
26,14,4
27,1,4
27,17,4
28,4,5
28,5,3
28,8,4
28,9,3
28,11,5
29,2,5
29,4,4
30,2,4
30,5,3
30,8,4
30,11,5
30,13,5
30,14,5
31,2,3
31,13,4
31,14,3
32,2,4
32,5,4
32,7,3
32,8,5
32,9,3
32,10,5
32,14,3
34,10,4
34,13,5
36,1,4
36,3,3
36,4,5
36,5,3
36,13,3
36,14,5
36,17,4
37,1,4
37,17,4
38,2,4
38,10,2
38,14,4
40,1,4
40,2,5
40,4,5
40,5,3
40,8,4
40,10,5
40,11,2
40,13,4
40,14,3
41,1,5
41,16,4
41,17,5
42,8,5
42,14,3
43,1,3
43,4,5
43,8,4
43,11,4
43,17,3
44,2,4
44,4,5
44,9,3
44,10,4
44,16,3
45,8,5
45,11,4
45,13,2
46,1,4
46,16,5
46,17,4
47,9,4
47,16,3
48,11,3
49,4,4
49,5,4
49,8,4
49,13,4
49,16,3
50,2,3
53,8,3
53,11,5
53,13,3
53,14,2
54,1,4
54,3,4
54,11,5
54,16,4
54,17,4
55,1,4
55,2,3
55,4,5
55,5,5
55,8,5
55,11,4
55,13,5
55,16,4
55,17,4
58,2,3
58,5,4
58,8,5
58,10,4
58,11,4
58,13,4
58,14,3
59,5,3
59,8,4
59,10,3
59,13,4
59,14,3
60,3,2
60,15,4
61,1,4
61,2,4
61,5,5
61,11,5
61,15,5
61,16,4
61,17,3
63,10,2
63,13,3
65,2,4
65,5,5
65,7,5
65,8,5
65,10,2
65,11,3
65,13,4
65,14,4
66,2,2
66,9,2
66,10,3
67,1,4
67,12,5
67,16,5
67,17,4
68,8,3
68,10,2
68,13,3
68,14,4
69,4,5
69,5,5
69,8,5
69,9,3
70,5,4
70,10,3
70,14,5
72,4,5
72,7,2
72,8,2
72,10,5
72,15,5
73,2,4
73,3,5
73,4,3
73,5,4
73,8,5
73,10,5
73,13,5
75,1,4
75,2,5
75,8,4
75,10,2
75,11,5
75,15,4
75,16,3
75,17,4
76,2,5
76,3,3
76,8,4
76,9,3
76,10,5
76,11,4
76,16,1
78,7,4
78,13,2
78,14,2
79,4,4
79,5,4
79,8,5
79,9,3
79,13,4
79,14,3
79,15,4
80,4,2
80,5,2
80,8,2
80,10,1
80,11,2
80,13,2
80,14,2
82,10,4
82,16,3
83,2,4
83,4,5
83,5,4
83,8,4
83,13,4
83,14,4
84,1,3
84,16,3
85,2,4
85,4,5
85,5,4
85,8,5
85,9,4
85,10,4
85,13,5
85,14,5
85,15,5
86,2,2
86,5,4
86,8,4
86,11,5
86,14,5
88,2,4
88,3,1
88,4,4
88,7,3
88,8,3
88,10,4
88,11,2
88,14,4
88,15,3
89,1,4
89,2,3
89,4,4
89,5,4
89,8,4
89,10,3
89,16,4
91,2,1
91,11,3
91,14,5
92,11,2
92,16,3
93,2,5
93,7,3
93,11,5
94,2,2
94,8,5
95,1,4
95,5,4
95,9,4
95,11,5
95,16,3
95,17,4
96,7,3
100,10,3
100,11,3
100,14,3
101,1,4
101,2,3
101,4,5
101,5,4
101,8,2
101,10,5
101,14,4
101,16,4
101,17,4
103,11,4
103,16,3
104,1,4
104,3,2
104,16,2
105,3,1
105,9,3
106,2,3
106,9,4
106,11,4
108,2,3
108,10,4
108,11,5
108,16,4
109,4,5
109,5,1
109,8,3
109,10,4
109,15,3
110,2,4
110,13,4
110,14,4
111,14,4
112,2,4
112,7,4
112,8,3
114,3,2
114,4,4
114,8,5
114,11,2
114,13,3
114,14,5
115,4,3
115,5,5
115,8,5
115,10,4
115,13,4
116,7,4
117,2,5
117,8,4
117,11,5
117,13,3
117,14,3
119,1,5
119,2,5
119,3,5
119,5,4
119,16,4
119,17,5
120,13,5
122,8,3
122,9,3
122,11,4
122,14,4
123,3,5
123,4,3
123,5,4
123,11,5
123,15,5
123,16,4
124,2,2
124,4,5
124,8,4
124,9,3
124,10,5
124,11,4
124,13,4
124,14,3
124,15,3
125,2,4
125,4,4
125,8,5
125,11,5
126,9,1
126,11,3
126,16,1
127,2,5
127,3,5
127,4,3
127,8,4
127,9,3
127,10,5
127,11,5
127,13,4
127,16,4
128,1,5
128,17,5
130,2,5
130,3,3
130,5,5
130,7,5
130,8,4
130,13,3
131,2,3
131,5,4
131,10,1
131,11,4
132,1,4
132,10,3
132,12,2
132,13,4
132,17,4
133,3,4
133,4,4
133,8,3
133,14,4
134,4,5
134,8,4
134,10,4
134,11,3
134,15,4
135,1,5
135,2,2
135,7,3
135,8,3
135,13,3
135,14,3
135,17,4
136,4,3
136,5,4
136,8,4
136,14,3
137,2,2
137,4,2
137,5,2
137,7,4
137,8,3
137,9,4
137,10,3
137,13,3
137,14,5
139,10,4
140,2,1
140,5,5
140,7,3
140,8,5
140,13,5
140,14,5
142,4,5
142,5,5
142,8,5
142,10,3
142,13,5
143,1,5
143,2,5
143,3,3
143,8,2
143,9,2
143,10,5
143,11,5
143,16,5
143,17,5
144,4,3
144,5,4
144,8,4
144,14,4
145,3,2
145,4,3
145,16,4
146,4,5
146,16,3
147,7,2
147,8,3
147,10,3
147,13,4
147,14,3
149,4,5
149,5,3
149,8,5
149,9,4
149,10,2
149,11,1
149,13,5
149,14,5
150,1,5
150,2,4
150,13,4
150,17,5
151,4,4
151,5,3
151,8,4
151,13,5
154,4,3
154,5,5
154,8,4
154,10,4
154,13,5
155,11,4
155,13,4
155,14,4
156,2,4
156,4,5
156,5,4
156,8,4
156,11,4
158,4,4
158,7,5
158,8,3
158,10,3
158,13,4
158,14,4
159,13,4
161,1,4
161,8,3
161,17,3
162,5,3
162,16,1
163,1,5
163,2,5
163,5,3
163,7,4
163,13,4
163,14,4
163,17,5
164,11,5
165,3,3
167,8,5
167,14,3
168,2,4
168,10,5
169,4,5
169,5,5
169,7,4
169,8,5
169,10,5
169,11,5
169,14,4
170,16,4
173,1,4
173,2,5
173,3,4
173,4,4
173,9,4
173,14,4
173,16,2
173,17,2
174,4,5
174,8,2
174,9,2
174,10,5
174,11,5
175,5,4
175,10,5
176,2,4
176,4,3
176,5,3
176,8,5
176,10,3
176,11,4
176,13,4
176,14,4
177,1,4
177,2,3
177,4,5
177,8,4
177,11,5
177,16,4
177,17,2
178,3,1
178,7,4
178,16,2
179,1,4
179,3,1
179,7,1
179,8,5
179,9,2
179,11,3
179,13,4
179,14,4
179,15,5
179,17,3
180,2,4
180,4,5
180,7,5
180,8,5
180,9,2
180,11,4
181,1,4
181,17,3
182,2,5
182,3,5
182,4,5
182,11,4
182,15,5
182,16,5
183,1,4
183,16,2
183,17,4
184,2,4
184,5,3
184,8,5
184,15,5
185,2,3
185,7,5
185,8,4
185,11,4
185,13,5
185,14,4
186,1,5
186,3,4
186,8,3
186,16,4
186,17,5
187,2,5
187,4,3
187,5,4
187,7,5
187,8,5
187,11,5
187,15,5
188,15,3
189,4,3
189,10,4
189,14,5
190,2,3
190,4,4
190,5,4
190,7,4
190,8,5
190,13,4
190,14,4
191,2,4
191,4,4
191,8,5
191,11,3
191,13,5
191,14,4
191,15,4
192,9,3
192,11,5
193,1,4
193,7,3
193,17,4
194,4,4
194,8,2
194,10,3
194,13,5
194,14,3
195,5,3
195,8,4
196,2,5
196,3,5
196,5,4
196,8,4
196,9,3
196,10,5
196,13,4
196,15,3
197,5,3
197,7,4
197,8,5
197,9,4
197,11,5
197,14,1
199,3,3
199,4,5
199,8,3
199,11,5
202,2,4
202,3,4
202,4,4
202,5,4
202,7,4
202,8,4
202,9,3
202,13,5
202,14,4
202,15,3
203,2,5
203,5,4
203,8,4
203,9,4
203,10,5
203,14,2
204,4,4
204,5,4
204,8,4
204,10,4
204,11,4
204,14,3
205,4,5
205,5,4
205,8,4
205,13,3
205,14,3
205,16,4
206,2,3
206,11,4
206,14,3
207,4,2
207,5,4
207,7,5
207,9,4
207,11,3
207,13,4
207,14,5
207,15,3
208,1,5
208,17,5
209,2,5
209,4,4
209,5,4
209,7,5
209,8,4
209,9,4
209,10,3
209,13,4
209,14,4
210,5,5
210,8,5
210,10,3
210,11,5
211,1,5
211,16,4
211,17,5
212,2,2
212,4,4
212,5,3
212,7,3
212,8,3
212,14,4
213,1,4
213,17,4
214,2,3
214,4,5
214,5,4
214,8,4
214,13,4
214,14,5
215,5,3
215,7,5
215,13,3
215,14,3
215,15,5
218,5,4
218,13,1
219,4,5
219,5,5
219,8,4
219,14,5
219,15,5
221,2,5
222,1,4
222,7,2
222,13,4
222,16,4
222,17,3
223,2,5
223,4,5
223,5,4
223,8,5
223,11,3
223,15,4
223,16,4
224,4,5
224,13,4
224,16,4
226,2,3
226,7,3
226,10,1
226,14,3
226,15,3
228,2,4
228,4,5
228,5,3
228,7,4
228,8,3
228,9,3
228,14,3
229,1,4
229,2,4
229,3,5
229,10,5
229,11,4
230,10,5
230,11,5
232,5,4
232,8,4
232,13,4
232,14,4
233,4,4
233,5,3
233,8,4
233,10,2
233,14,3
233,15,2
234,3,4
234,4,4
234,7,5
234,16,5
237,2,4
237,3,4
237,4,5
237,5,5
237,8,5
237,10,4
237,11,5
237,13,3
237,14,3
237,15,5
238,5,4
238,8,3
238,14,2
239,11,4
239,15,3
240,2,5
240,4,4
240,5,4
240,10,5
242,5,3
242,7,4
242,11,4
242,15,3
243,4,4
243,5,3
243,8,1
243,11,2
243,13,3
243,14,2
244,11,2
244,15,3
244,16,3
245,2,4
245,4,4
245,9,3
245,14,2
246,5,4
246,7,4
246,8,3
246,9,2
247,2,4
247,4,4
247,5,5
247,8,1
247,11,5
247,13,3
248,2,5
248,3,4
248,4,4
248,5,4
248,7,4
248,8,4
248,10,4
248,14,4
248,15,4
248,16,4
249,2,4
249,8,5
250,1,5
250,2,5
250,3,4
250,4,5
250,5,4
250,14,3
253,2,3
253,3,4
253,4,5
253,5,4
253,8,4
253,10,3
253,11,4
253,13,4
255,2,5
255,4,5
255,5,3
255,8,3
255,10,3
255,14,4
256,2,3
256,3,3
256,4,4
256,5,4
256,8,4
256,9,4
256,10,5
256,11,4
256,15,5
257,8,3
257,13,2
257,14,4
258,4,4
258,5,5
258,8,5
258,9,4
258,10,2
258,11,4
258,15,5
259,3,3
259,4,5
259,7,3
259,8,3
259,11,2
259,13,2
260,15,4
263,1,5
263,3,1
263,4,5
263,7,5
263,8,5
263,10,5
263,11,3
263,13,5
263,14,5
263,16,4
264,10,4
264,11,5
264,13,3
265,3,4
265,4,4
265,11,5
265,16,5
269,4,4
269,10,4
269,11,3
270,15,4
271,1,4
271,2,5
271,3,5
271,4,4
271,5,5
271,8,4
271,10,4
271,11,5
271,14,3
271,16,4
271,17,4
274,10,5
274,13,5
275,2,4
275,4,5
275,8,3
275,10,5
275,11,4
276,4,5
276,7,4
276,10,5
276,11,4
276,13,3
277,9,2
278,11,4
279,2,5
279,4,5
279,10,4
282,1,5
282,2,4
282,3,3
282,4,5
282,5,4
282,8,5
282,9,3
282,10,5
282,11,4
282,16,4
282,17,5
283,2,4
283,3,3
283,4,3
283,7,2
283,8,3
283,9,3
283,11,4
284,11,3
286,11,5
287,8,5
289,2,5
289,7,4
289,10,5
290,3,2
290,15,5
291,3,2
291,5,2
291,15,5
291,16,3
292,1,5
292,3,5
292,16,4
292,17,4
293,2,4
293,3,3
293,4,5
293,7,4
293,13,3
293,15,3
294,1,5
294,3,5
294,16,4
295,8,4
295,15,3
296,2,3
296,4,5
296,5,3
296,7,4
296,13,4
296,14,3
297,5,4
297,10,4
298,5,3
298,8,5
299,7,2
299,8,1
299,13,4
299,14,4
300,5,3
300,8,4
300,13,3
300,14,2
301,2,3
301,7,3
301,13,4
301,14,3
302,10,5
302,13,4
302,14,5
303,8,5
303,13,5
303,14,4
304,10,3
304,11,4
305,1,4
305,8,5
305,17,3
306,15,3
307,1,2
307,11,3
307,16,3
311,3,1
311,16,3
312,3,5
312,7,5
312,15,5
313,4,3
313,5,3
313,8,2
313,10,3
314,1,5
314,3,3
314,12,4
314,15,4
314,16,4
314,17,4
316,4,4
316,8,3
318,7,4
318,11,5
320,2,4
320,4,5
320,5,4
320,8,5
320,10,5
320,13,4
320,14,5
322,3,4
322,7,4
323,5,4
324,7,4
324,9,4
325,2,3
325,4,3
325,5,4
325,8,4
325,9,4
325,10,5
325,11,4
325,13,4
325,14,3
325,15,4
325,16,3
328,3,4
328,8,4
328,11,4
329,1,4
329,2,4
329,13,4
329,17,3
330,13,5
330,14,5
331,4,5
331,5,4
331,7,4
331,8,4
331,10,5
331,13,5
332,11,3
332,14,4
333,2,5
333,8,1
335,16,4
337,4,5
337,8,5
337,13,5
337,15,4
338,2,4
338,4,5
338,5,4
338,8,4
338,9,1
338,11,5
338,13,5
338,14,5
338,15,4
339,4,5
339,8,5
339,11,1
339,14,5
340,4,5
340,7,1
342,11,5
344,2,3
344,4,5
344,7,4
344,8,4
344,13,4
344,14,4
345,2,3
345,4,4
345,11,5
345,14,3
347,4,5
347,8,4
347,14,3
349,4,5
349,5,4
349,7,5
349,8,4
349,9,3
349,11,3
349,13,4
349,14,3
350,1,4
350,15,3
350,16,4
352,1,5
352,2,5
352,3,4
352,7,4
352,8,4
352,13,5
352,16,3
352,17,5
354,2,4
354,10,4
354,13,4
355,13,3
355,14,5
356,2,5
356,3,3
356,4,5
356,7,5
356,8,5
357,5,4
357,7,5
357,8,3
357,13,5
357,14,5
358,2,5
358,5,5
358,9,2
358,11,2
359,1,4
360,1,4
360,3,2
360,4,3
360,16,3
360,17,3
361,4,4
361,5,4
361,7,3
361,15,4
362,4,5
362,5,5
362,11,2
362,14,4
362,16,3
363,1,4
363,3,4
363,11,4
363,13,3
363,16,3
364,8,2
364,9,2
364,11,4
364,13,3
366,2,4
366,4,4
366,5,3
366,7,2
366,8,4
366,9,4
366,11,5
366,13,3
366,14,3
368,3,2
368,9,2
368,14,3
368,15,3
368,16,4
370,2,4
370,9,5
371,14,3
372,2,4
372,3,2
372,4,5
372,7,4
372,8,4
372,9,1
372,10,5
372,13,5
372,14,4
372,16,2
374,4,1
374,7,4
374,8,3
374,9,2
375,2,5
375,4,5
375,5,3
375,7,3
375,9,3
375,10,5
375,11,4
376,4,4
376,5,5
376,8,4
